Date,"U.S. Ending Stocks of Finished Motor Gasoline, Weekly","U.S. Exports of Finished Motor Gasoline, Weekly","U.S. Imports of Finished Motor Gasoline, Weekly","U.S. Refiner and Blender Net Production of Finished Motor Gasoline, Weekly",Stock Change,Demand
2010-06-04,77189.0,1085.0,224.0,63259.0,-656.0,63054.0
2010-06-11,77388.0,1085.0,952.0,64386.0,199.0,64054.0
2010-06-18,77749.0,1085.0,1302.0,64981.0,361.0,64837.0
2010-06-25,76917.0,1085.0,868.0,65660.0,-832.0,66275.0
2010-07-02,76267.0,1085.0,1008.0,65856.0,-650.0,66429.0
2010-07-09,78668.0,1085.0,490.0,66185.0,2401.0,63189.0
2010-07-16,77629.0,1085.0,889.0,64484.0,-1039.0,65327.0
2010-07-23,77580.0,1085.0,924.0,66276.0,-49.0,66164.0
2010-07-30,76791.0,1085.0,728.0,65751.0,-789.0,66183.0
2010-08-06,76755.0,1085.0,665.0,65072.0,-36.0,64688.0
2010-08-13,76424.0,1386.0,1148.0,63973.0,-331.0,64066.0
2010-08-20,77530.0,1386.0,784.0,65996.0,1106.0,64288.0
2010-08-27,76200.0,1386.0,616.0,65009.0,-1330.0,65569.0
2010-09-03,76756.0,1386.0,315.0,64540.0,556.0,62913.0
2010-09-10,76639.0,1477.0,266.0,62104.0,-117.0,61010.0
2010-09-17,77268.0,1477.0,896.0,62587.0,629.0,61377.0
2010-09-24,74940.0,1477.0,714.0,64435.0,-2328.0,66000.0
2010-10-01,73333.0,1477.0,1407.0,63700.0,-1607.0,65237.0
2010-10-08,71811.0,1477.0,553.0,63756.0,-1522.0,64354.0
2010-10-15,72635.0,1400.0,1141.0,65310.0,824.0,64227.0
2010-10-22,71189.0,1400.0,959.0,63728.0,-1446.0,64733.0
2010-10-29,70528.0,1400.0,980.0,62503.0,-661.0,62744.0
2010-11-05,69448.0,1400.0,637.0,63147.0,-1080.0,63464.0
2010-11-12,68446.0,1169.0,308.0,62937.0,-1002.0,63078.0
2010-11-19,69138.0,1169.0,1064.0,64057.0,692.0,63260.0
2010-11-26,68076.0,1169.0,609.0,61516.0,-1062.0,62018.0
2010-12-03,69554.0,1169.0,1071.0,65359.0,1478.0,63783.0
2010-12-10,69232.0,1176.0,952.0,65408.0,-322.0,65506.0
2010-12-17,70251.0,1176.0,490.0,65387.0,1019.0,63682.0
2010-12-24,68768.0,1176.0,518.0,65121.0,-1483.0,65946.0
2010-12-31,68365.0,1176.0,301.0,62034.0,-403.0,61562.0
2011-01-07,67117.0,1176.0,588.0,60655.0,-1248.0,61315.0
2011-01-14,66820.0,1393.0,455.0,61537.0,-297.0,60896.0
2011-01-21,67102.0,1393.0,392.0,62734.0,282.0,61451.0
2011-01-28,68543.0,1393.0,889.0,61425.0,1441.0,59480.0
2011-02-04,72053.0,1393.0,1036.0,62237.0,3510.0,58370.0
2011-02-11,73764.0,1561.0,756.0,62237.0,1711.0,59721.0
2011-02-18,73269.0,1561.0,770.0,62727.0,-495.0,62431.0
2011-02-25,72910.0,1561.0,756.0,63728.0,-359.0,63282.0
2011-03-04,71005.0,1561.0,819.0,62909.0,-1905.0,64072.0
2011-03-11,68692.0,1974.0,266.0,62160.0,-2313.0,62765.0
2011-03-18,66986.0,1974.0,602.0,63469.0,-1706.0,63803.0
2011-03-25,64682.0,1974.0,861.0,61747.0,-2304.0,62938.0
2011-04-01,63142.0,1974.0,735.0,62237.0,-1540.0,62538.0
2011-04-08,60647.0,1974.0,959.0,61950.0,-2495.0,63430.0
2011-04-15,60252.0,1834.0,700.0,64092.0,-395.0,63353.0
2011-04-22,58042.0,1834.0,1771.0,61488.0,-2210.0,63635.0
2011-04-29,56511.0,1834.0,1120.0,62657.0,-1531.0,63474.0
2011-05-06,55783.0,1834.0,756.0,62587.0,-728.0,62237.0
2011-05-13,55320.0,1400.0,357.0,64701.0,-463.0,64121.0
2011-05-20,56551.0,1400.0,994.0,64869.0,1231.0,63232.0
2011-05-27,56306.0,1400.0,1141.0,67025.0,-245.0,67011.0
2011-06-03,57520.0,1400.0,630.0,64358.0,1214.0,62374.0
2011-06-10,57674.0,1820.0,1281.0,65261.0,154.0,64568.0
2011-06-17,58361.0,1820.0,952.0,66122.0,687.0,64567.0
2011-06-24,56412.0,1820.0,1022.0,65226.0,-1949.0,66377.0
2011-07-01,56755.0,1820.0,623.0,66724.0,343.0,65184.0
2011-07-08,54424.0,1820.0,315.0,63763.0,-2331.0,64589.0
2011-07-15,54588.0,1785.0,448.0,65296.0,164.0,63795.0
2011-07-22,55284.0,1785.0,1141.0,65044.0,696.0,63704.0
2011-07-29,53561.0,1785.0,546.0,64981.0,-1723.0,65465.0
2011-08-05,54621.0,1785.0,819.0,66388.0,1060.0,64362.0
2011-08-12,53569.0,2765.0,812.0,65170.0,-1052.0,64269.0
2011-08-19,54379.0,2765.0,1239.0,65044.0,810.0,62708.0
2011-08-26,54538.0,2765.0,441.0,66976.0,159.0,64493.0
2011-09-02,54072.0,2765.0,861.0,63581.0,-466.0,62143.0
2011-09-09,56011.0,2765.0,1148.0,64365.0,1939.0,60809.0
2011-09-16,55662.0,2352.0,462.0,64064.0,-349.0,62523.0
2011-09-23,55733.0,2352.0,217.0,63679.0,71.0,61473.0
2011-09-30,56226.0,2352.0,553.0,64218.0,493.0,61926.0
2011-10-07,53473.0,2352.0,273.0,61747.0,-2753.0,62421.0
2011-10-14,55312.0,3752.0,588.0,62433.0,1839.0,57430.0
2011-10-21,54911.0,3752.0,308.0,62573.0,-401.0,59530.0
2011-10-28,55304.0,3752.0,196.0,63476.0,393.0,59527.0
2011-11-04,53510.0,3752.0,952.0,60893.0,-1794.0,59887.0
2011-11-11,53908.0,3703.0,532.0,63112.0,398.0,59543.0
2011-11-18,56610.0,3703.0,259.0,64792.0,2702.0,58646.0
2011-11-25,56140.0,3703.0,301.0,62874.0,-470.0,59942.0
2011-12-02,56871.0,3703.0,560.0,63322.0,731.0,59448.0
2011-12-09,60136.0,3661.0,777.0,65156.0,3265.0,59007.0
2011-12-16,60618.0,3661.0,567.0,64729.0,482.0,61153.0
2011-12-23,61190.0,3661.0,882.0,65520.0,572.0,62169.0
2011-12-30,60416.0,3661.0,224.0,60585.0,-774.0,57922.0
2012-01-06,60872.0,3661.0,196.0,60207.0,456.0,56286.0
2012-01-13,62332.0,4382.0,301.0,61299.0,1460.0,55758.0
2012-01-20,61457.0,4382.0,420.0,59577.0,-875.0,56490.0
2012-01-27,62381.0,4382.0,1498.0,59332.0,924.0,55524.0
2012-02-03,62706.0,4382.0,595.0,59381.0,325.0,55269.0
2012-02-10,63389.0,3892.0,231.0,60683.0,683.0,56339.0
2012-02-17,61869.0,4312.0,364.0,60459.0,-1520.0,58031.0
2012-02-24,61159.0,4312.0,196.0,61488.0,-710.0,58082.0
2012-03-02,60024.0,4312.0,889.0,60291.0,-1135.0,58003.0
2012-03-09,58670.0,4312.0,119.0,61159.0,-1354.0,58320.0
2012-03-16,59269.0,2660.0,581.0,60039.0,599.0,57361.0
2012-03-23,57320.0,2660.0,392.0,60613.0,-1949.0,60294.0
2012-03-30,57261.0,2660.0,1274.0,61040.0,-59.0,59713.0
2012-04-06,56389.0,2660.0,168.0,60333.0,-872.0,58713.0
2012-04-13,54591.0,2884.0,105.0,62174.0,-1798.0,61193.0
2012-04-20,54299.0,2884.0,539.0,60032.0,-292.0,57979.0
2012-04-27,52952.0,2884.0,882.0,59878.0,-1347.0,59223.0
2012-05-04,51852.0,2884.0,224.0,61509.0,-1100.0,59949.0
2012-05-11,50138.0,2877.0,273.0,62216.0,-1714.0,61326.0
2012-05-18,50028.0,2877.0,581.0,63049.0,-110.0,60863.0
2012-05-25,49143.0,2877.0,441.0,63161.0,-885.0,61610.0
2012-06-01,49862.0,2877.0,742.0,61775.0,719.0,58921.0
2012-06-08,50351.0,2646.0,189.0,64470.0,489.0,61524.0
2012-06-15,50674.0,2646.0,665.0,62559.0,323.0,60255.0
2012-06-22,51600.0,2646.0,532.0,64232.0,926.0,61192.0
2012-06-29,51894.0,2828.0,413.0,63959.0,294.0,61250.0
2012-07-06,51952.0,2828.0,77.0,64211.0,58.0,61402.0
2012-07-13,51261.0,2828.0,273.0,60991.0,-691.0,59127.0
2012-07-20,53160.0,2401.0,70.0,63217.0,1899.0,58987.0
2012-07-27,52608.0,2401.0,749.0,61180.0,-552.0,60080.0
2012-08-03,53578.0,2401.0,497.0,62293.0,970.0,59419.0
2012-08-10,51794.0,2303.0,175.0,63483.0,-1784.0,63139.0
2012-08-17,51230.0,2303.0,56.0,63133.0,-564.0,61450.0
2012-08-24,50162.0,2303.0,399.0,63441.0,-1068.0,62605.0
2012-08-31,48613.0,2303.0,63.0,63035.0,-1549.0,62344.0
2012-09-07,48965.0,2303.0,861.0,59577.0,352.0,57783.0
2012-09-14,50248.0,2618.0,497.0,61194.0,1283.0,57790.0
2012-09-21,48811.0,2618.0,63.0,62321.0,-1437.0,61203.0
2012-09-28,49720.0,2618.0,210.0,61159.0,909.0,57842.0
2012-10-05,47590.0,2618.0,133.0,60536.0,-2130.0,60181.0
2012-10-12,47612.0,2268.0,70.0,61278.0,22.0,59058.0
2012-10-19,48898.0,2268.0,84.0,62685.0,1286.0,59215.0
2012-10-26,49637.0,2268.0,497.0,63602.0,739.0,61092.0
2012-11-02,51532.0,2268.0,70.0,62636.0,1895.0,58543.0
2012-11-09,51354.0,2366.0,826.0,61992.0,-178.0,60630.0
2012-11-16,51416.0,2366.0,392.0,63007.0,62.0,60971.0
2012-11-23,51571.0,2366.0,406.0,62188.0,155.0,60073.0
2012-11-30,55286.0,2366.0,182.0,63084.0,3715.0,57185.0
2012-12-07,56285.0,2366.0,427.0,63490.0,999.0,60552.0
2012-12-14,55657.0,3234.0,714.0,64043.0,-628.0,62151.0
2012-12-21,59457.0,3234.0,476.0,65779.0,3800.0,59221.0
2012-12-28,59177.0,3234.0,161.0,60893.0,-280.0,58100.0
2013-01-04,58636.0,3234.0,70.0,57428.0,-541.0,54805.0
2013-01-11,57343.0,3234.0,49.0,60137.0,-1293.0,58245.0
2013-01-18,57599.0,3388.0,308.0,60676.0,256.0,57340.0
2013-01-25,58755.0,3388.0,602.0,62195.0,1156.0,58253.0
2013-02-01,58026.0,3388.0,238.0,61740.0,-729.0,59319.0
2013-02-08,58140.0,3388.0,56.0,60571.0,114.0,57125.0
2013-02-15,58300.0,3388.0,56.0,60529.0,160.0,57037.0
2013-02-22,58659.0,4130.0,189.0,62629.0,359.0,58329.0
2013-03-01,56289.0,4130.0,63.0,61229.0,-2370.0,59532.0
2013-03-08,54519.0,4130.0,70.0,60487.0,-1770.0,58197.0
2013-03-15,52512.0,3836.0,189.0,60403.0,-2007.0,58763.0
2013-03-22,51991.0,3836.0,84.0,63014.0,-521.0,59783.0
2013-03-29,51592.0,3836.0,476.0,60704.0,-399.0,57743.0
2013-04-05,50213.0,3836.0,469.0,62524.0,-1379.0,60536.0
2013-04-12,50569.0,3836.0,560.0,62230.0,356.0,58598.0
2013-04-19,48948.0,3395.0,56.0,62433.0,-1621.0,60715.0
2013-04-26,48233.0,3395.0,84.0,62769.0,-715.0,60173.0
2013-05-03,46492.0,3395.0,56.0,61481.0,-1741.0,59883.0
2013-05-10,47316.0,3395.0,105.0,63623.0,824.0,59509.0
2013-05-17,48187.0,2156.0,56.0,64148.0,871.0,61177.0
2013-05-24,46532.0,2156.0,133.0,63553.0,-1655.0,63185.0
2013-05-31,48060.0,2156.0,49.0,64365.0,1528.0,60730.0
